"ENSEMBL","SYMBOL","log2FoldChange_UVB","padj_UVB","log2FoldChange_UVA","padj_UVA","log2FoldChange_7gy","padj_7gy"
"ENSG00000170445","HARS1",0.286480755877557,2.92160066766753e-05,0.299517849701388,1.17636955607592e-05,0.277168749852067,0.000148495704548238
"ENSG00000198356","GET3",0.409437779064808,0.00089495074750375,0.47706079240835,8.68681406138329e-05,0.407271466475002,0.000793695946922118
"ENSG00000238045",NA,2.12039083332949,8.21639129823048e-07,1.40613750877592,4.27158211921535e-05,1.20796838397997,0.0010513816240436
"ENSG00000248698","KLF17P2",1.03040505717528,0.00120948789429819,0.971998197426548,0.000741544904159338,0.928977024046101,0.0015019396265521
"ENSG00000060971","ACAA1",0.339323820237149,0.00163736664294078,0.534359849302392,2.0668104416947e-07,0.347183764715166,0.00172384771263827
"ENSG00000122203","KIAA1191",0.240285775686292,0.00204757935216928,0.292789083747905,0.000116733333013868,0.261990624961819,0.00149263210662889
"ENSG00000143178","TBX19",1.54799898005761,7.43560682661879e-05,1.11974043764541,0.00046023390458169,1.00328555237136,0.00211383258764476
"ENSG00000283103","LOC105372480",0.446187526861225,0.00361040680290381,0.509515764308315,0.000764899023733049,0.482151116445251,0.00109469704793668
"ENSG00000022277","RTF2",0.217646130830966,2.65693784595172e-05,0.153706929841542,0.00452491595198275,0.171748439087189,0.00329062995144736
"ENSG00000168300","PCMTD1",0.406134412382415,0.00475016962544076,0.640998821324698,4.24834903808362e-06,0.54089226253875,0.000120957290492197
"ENSG00000111775","COX6A1",0.304896250632701,0.00495662480583396,0.386936026074697,0.000251060367173863,0.310990197067259,0.00402968276434764
"ENSG00000189067","LITAF",0.466931023201219,4.02082855679058e-09,0.237521386994224,0.00509430019077414,0.273229667631874,0.00166266900936979
"ENSG00000172830","SSH3",0.568456130826732,0.00558151665488076,1.45240336083401,3.55485639243168e-13,0.606454178783757,0.00170025207237086
"ENSG00000169976","SF3B5",0.314521682358996,1.44244959082694e-05,0.286253253830851,8.95422475397789e-05,0.213918918519749,0.00679572029461489
"ENSG00000115255","REEP6",0.851642516865652,0.00701268227848359,0.909734465781643,0.00185109032749003,0.685045095404183,0.00708350484509401
"ENSG00000106993","CDC37L1",0.288484512484601,0.00769579771784087,0.393403421560817,0.000157733963550578,0.411567331701471,0.00011411648330835
"ENSG00000127540","UQCR11",0.257980295007434,0.00794743271927865,0.407975537073726,1.04237121331793e-05,0.367030374809233,0.000107320418456099
"ENSG00000167863","ATP5PD",0.231604010884859,0.00797491013528461,0.362309854189666,1.23210242555005e-05,0.266605565397066,0.0025399812441602
"ENSG00000205707","ETFRF1",0.361794955918268,0.0081643383101344,0.500734586430272,0.000153573774952759,0.370002100824508,0.00579386118688065
"ENSG00000254999","BRK1",0.203930590436333,0.00853829434045822,0.276227906830952,0.000202131093796086,0.242161929833406,0.00229255419311068
"ENSG00000184076","UQCR10",0.288263936004153,0.000251839414716088,0.212297960664556,0.00941173510261828,0.243062353224174,0.00386066500489359
"ENSG00000182400","TRAPPC6B",0.351009768197379,0.0034178777215744,0.369766627462971,0.00194602212239782,0.316432458360956,0.00946959108824895
"ENSG00000104823","ECH1",0.478853753102981,1.72500761618508e-05,0.633663277106696,7.23890610304154e-09,0.30079740641906,0.00981903798540566
"ENSG00000189043","NDUFA4",0.467448310998536,5.80442243502185e-06,0.455754679094776,9.53833470007507e-06,0.276647476120286,0.0104011351204174
"ENSG00000132581","SDF2",0.319267038821499,0.000376200631157386,0.301011023170546,0.000885915891316503,0.247742834263283,0.010418638712799
